platform,komentar,timestamp
youtube,Suban el recital entero por favor!!!!❤,3 jam yang lalu
youtube,Bieber ❤❤,3 jam yang lalu
youtube,Love❤up❤to ❤Justin❤,3 jam yang lalu
youtube,I love Justin Bieber ❤,3 jam yang lalu
youtube,I love his voice live. Uhhhh,3 jam yang lalu
youtube,Closer and closer and closaaaah,3 jam yang lalu
youtube,Dónde está el video completo? Es real?,3 jam yang lalu
youtube,I love this kid. He's just a beautiful person.,3 jam yang lalu
youtube,I wanna see the full set. Why is there no live video for him??,3 jam yang lalu
youtube,So awesome,3 jam yang lalu
youtube,How is he SO FINE?!? It doesn't even make sense !!,4 jam yang lalu
youtube,"nice song and performance. A question I ask myself is, Justin Bieber has been singing for 15 years, how is that possible that his singing hasn't gotten any better?",4 jam yang lalu
youtube,And Finely He Provided That He sill Owns the The Whole Artists including your Sidhu And aujla ❤,4 jam yang lalu
youtube,Best ❤,4 jam yang lalu
youtube,Justin is Justin only his prevents is enough,4 jam yang lalu
youtube,"First of all, I have loved this song since the moment it came out. Every time it comes on the radio I blast it as loud as I can. Thanks Justin for sharing your musical gifts with us. It’s been a revelation, watching you mature into the performer you are now. Don’t listen to the haters. They aren’t worth a second of your time. Keep making great music the way you want to. Take care of your beautiful wife and your beautiful baby. You are living a great life and you deserve it.",4 jam yang lalu
youtube,Petition to make a CLOSAHHHH remix,4 jam yang lalu
youtube,listen on repeat,4 jam yang lalu
youtube,❤❤❤❤❤❤,4 jam yang lalu
youtube,❤❤❤,4 jam yang lalu
youtube,JB is AMAZING!!! ❤❤❤,4 jam yang lalu
youtube,C’était courageux et efficace ❤,4 jam yang lalu
youtube,♥️,4 jam yang lalu
youtube,Authentic.,4 jam yang lalu
youtube,amo esse caraaaaaaaaaa,4 jam yang lalu
youtube,GOAT,4 jam yang lalu
youtube,goat,4 jam yang lalu
youtube,😂😂😂,4 jam yang lalu
youtube,Justin is at it again. Angelic voice!!,4 jam yang lalu
youtube,"Atletico to win ucl and return for France to win the world cup, then balon dor",4 jam yang lalu
youtube,❤❤❤❤,4 jam yang lalu
youtube,Boys got a whole generation of girls fallin in love with him and a whole other generation falling in love with him all over again,4 jam yang lalu
youtube,"It’s crazy having grown up with this man, being the same age, being through the same life stages as him. So amazing to see him with that spark and joy for music he once had as a kid.",4 jam yang lalu
youtube,Goosebumps,4 jam yang lalu
youtube,Shocking outfit,4 jam yang lalu
youtube,❤❤❤❤❤jbbbbb,4 jam yang lalu
youtube,BIEBERCHELLA,4 jam yang lalu
youtube,justin is the greatest of all time,5 jam yang lalu
youtube,for the people calling this lazy - you clearly have no trauma,5 jam yang lalu
youtube,Keep dreaming? It’s Bayern winning ucl tho 😮🎉,2 jam yang lalu
youtube,Its nice to seen you back at the stage owning your time ❤️❤️❤️❤️❤️❤️❤️❤️❤️,5 jam yang lalu
youtube,❤,5 jam yang lalu
youtube,Bieberchella is what we all needed ❤️,5 jam yang lalu
youtube,justin i will marry you,5 jam yang lalu
youtube,justin the closer and closer bit made me so so happy,5 jam yang lalu
youtube,he should have gotten the 10 million for this performance alone,5 jam yang lalu
youtube,powerful,5 jam yang lalu
youtube,Sooo gooooood. 🤗🤗,5 jam yang lalu
youtube,"How many times have you watched this? 

Me: YES.",5 jam yang lalu
youtube,What a guy,5 jam yang lalu
youtube,"Omg 😁 the other performances just feel so fake and generic compared to his performance 
I know people can feel it - there’s a certain vibe 😊 it’s just awesome",5 jam yang lalu
youtube,does anyone know where his top is from,5 jam yang lalu
youtube,I love you so much.  JUST.  Bieber song,5 jam yang lalu
youtube,I am so happy❤❤,5 jam yang lalu
youtube,"This song made me a fan , I'm looking forward to his new music 💯",5 jam yang lalu
youtube,Need this version on spotify TODAY,5 jam yang lalu
youtube,Good to see him smile,5 jam yang lalu
youtube,Now I know what Bieber Fever is 😊,5 jam yang lalu
youtube,His voice is so special,5 jam yang lalu
youtube,🫶🫶,6 jam yang lalu
youtube,Spectacular. This is Art.,6 jam yang lalu
youtube,"Despite his downs, I’ve always loved J. Bieber. Always been a fan, always knew he would make it on the other side better. This brings pure happiness, watching him vibe, dance, sing, smile. That smile is the best. Proud of you and your ups and downs. You’ve come out on top!",6 jam yang lalu
youtube,He's BACK !!!! WE'VE MISSED YOU JUSTIN ❤,6 jam yang lalu
youtube,PROUD TO BE A TRUE BLIEBER.... NOT LIKE A TRENDING PAGE FAN.,6 jam yang lalu
youtube,CameraWOMAN yallllll!!! That's why it's so good,6 jam yang lalu
youtube,The positive vibes,6 jam yang lalu
youtube,My favorite video of all time,6 jam yang lalu
youtube,❤️🙏🏻❤️,6 jam yang lalu
youtube,Iconic this,7 jam yang lalu
youtube,love watching him happy,7 jam yang lalu (diedit)
youtube,His voice🤩,7 jam yang lalu
youtube,Heal ❤,7 jam yang lalu
youtube,Te amo Justin ❤,7 jam yang lalu
youtube,COMO PODI SER TAN PERFECTO JUSTIN WEON 😩😍,7 jam yang lalu
youtube,goat,7 jam yang lalu
youtube,He is my childhood crush and beautiful memories:) I love him,7 jam yang lalu
youtube,I think this performance turned me into a fan.,7 jam yang lalu
youtube,❤,7 jam yang lalu
youtube,Unhinged,7 jam yang lalu
youtube,❤❤❤,7 jam yang lalu
youtube,nice <3,6 jam yang lalu
youtube,Same. His talent is undeniable but his music has never been for me. This song though 🔥,5 jam yang lalu
youtube,Superbowl this guy next time 🔥🔥🔥,7 jam yang lalu
youtube,Love 🫶 JB music ❤,7 jam yang lalu
youtube,Incredible guy,7 jam yang lalu
youtube,"1:25 
Just a Little Detail but makes this Great Song so much better 😮",7 jam yang lalu (diedit)
youtube,Show icônico,7 jam yang lalu
youtube,So much better than the original version,7 jam yang lalu
youtube,"The best fan interaction, so pure and wholesome  ❤❤❤",7 jam yang lalu
youtube,"Gosh, the camera, the guitar, the song’s version, Justin, whose dream of a wife and a child came true.. all blending perfectly together.",8 jam yang lalu
youtube,Where can I watch the whole set on YouTube? They did record it. I can't find it the live coachella videos.,8 jam yang lalu
youtube,🫶🏽🎵🇧🇷,8 jam yang lalu (diedit)
youtube,"Eminems younger brother? , he must live his bed , ever song just about had the words “bed” in them 😅",8 jam yang lalu
youtube,rebrand of the century,8 jam yang lalu
youtube,love you,8 jam yang lalu
youtube,nice,8 jam yang lalu
youtube,くるしいけどさ生きていきぬこ,8 jam yang lalu
youtube,ばんしないでね,8 jam yang lalu
youtube,Me encanta su voz💜,8 jam yang lalu
youtube,Closer and closer and closaaaaaaaaaahhh❤,8 jam yang lalu
youtube,Playin over and over again,8 jam yang lalu
youtube,Soooo STYLISH 🔥,8 jam yang lalu
youtube,"This performance is absolute cinema! The production feels like a full music video, the crowd energy is amazing, the lighting is insane, and the fireworks at the end made the whole moment even crazier. Been playing it on repeat all day on max volume with headphones.",8 jam yang lalu
youtube,"Love Justin, love Coachella",8 jam yang lalu
youtube,So happy to see him happy,8 jam yang lalu
youtube,Justin is amazing without all the fluff. True Artist. Go Justin!!,8 jam yang lalu
youtube,"Hey, do everyone a favor and just post his full performance please or at least stop taking down/copyrighting those who share the full performance. Some people aren’t able to stay up until 2am. You are missing out on views !!!",8 jam yang lalu
youtube,camera girl ❤❤,8 jam yang lalu
youtube,lenda viva,9 jam yang lalu
youtube,Really good for him,9 jam yang lalu
youtube,This song is not about hailey it’s about another girl poor stalker fan thinks justin is cheating on her that’s why she cut the all women’s list at Coachella,9 jam yang lalu
youtube,He was absolutely fantastic,9 jam yang lalu
youtube,PLEASE make this downloadable. I just want to blast it in my car driving down PCH with the ocean breeze blowing through my hair.....,9 jam yang lalu
youtube,The new Dasies music video is sickkkkk,9 jam yang lalu
youtube,great,9 jam yang lalu
youtube,Justiiiiin!!!!,9 jam yang lalu
youtube,what it feels to be hailey Bieber ❤️,9 jam yang lalu
youtube,❤❤❤❤,9 jam yang lalu
youtube,😅😅😅,9 jam yang lalu
youtube,Perfect.,9 jam yang lalu
youtube,Best,9 jam yang lalu
youtube,"Justin🎉🎉🎉🎉🎉❤❤❤❤❤
It's time to listen to some emotional rock music from me, come sing on my channel",9 jam yang lalu
youtube,He told you that?,9 jam yang lalu
youtube,Please upload justin biber full performance,10 jam yang lalu
youtube,No puede ser lo lindo que está,10 jam yang lalu
youtube,"The performance was great, but I think Sabrina  lipped sing.",10 jam yang lalu (diedit)
youtube,❤❤❤❤❤❤❤❤ Bieber fever is incurable babeeeeeee,10 jam yang lalu
youtube,Besttttttt performance ❤❤❤ i should've sold my sister so i could go to coachella 😩,10 jam yang lalu
youtube,Extremely love this song .. i asked millions times to the radio .. i think they have blocked me hahaha ❤❤❤,10 jam yang lalu
youtube,❤❤❤❤❤❤,10 jam yang lalu
youtube,He is wonderfully perfect after so much his voice is still the same it is incredible and on the other hand the good work of the cameraman🩶😮‍💨,10 jam yang lalu
youtube,gg,10 jam yang lalu
youtube,1:26 😮‍💨,10 jam yang lalu
youtube,1:27 😮‍💨,10 jam yang lalu
youtube,Bieber fever is real 💜,10 jam yang lalu
youtube,แค่กลับมาขึ้นมาขึ้นเวทีก้ดีใจมากแล้ว,10 jam yang lalu
youtube,wow,10 jam yang lalu
youtube,This performance is all im listening to these days ❤,10 jam yang lalu
youtube,Im inlove with life again! Justin I hope you can understand how much you healed all of us with this performance! Im just happy to be alive and able to enjoy this over and over again.,10 jam yang lalu
youtube,"Chanel @Franstixa
Will be Drop PRIVATE Music after 1K+ Subscribe🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",11 jam yang lalu
youtube,🎉🎉🎉❤,11 jam yang lalu
youtube,He looks so happy 😊,11 jam yang lalu
youtube,"You can tell this is how he also sings around probably at home or in the studio. He brought that same type of setup and transitioned it into a show, he brought the audience behind the curtain and tried to connect with them more than just some tired old rehearsed repeated show. He made it about the music, while creating a laidback chill ""in your buddies living room while he sings"" environment.",11 jam yang lalu (diedit)
youtube,Luar biasa pengambilan gambar👏👏,11 jam yang lalu
youtube,🙏🏻🙏🏻❤️❤️🌹🌹🇨🇦⭐️🇺🇸🌝🇹🇭🌞🇩🇪💖💐,11 jam yang lalu
youtube,"Good for him!!! What an accomplishment. After all he’s been through, this was heart warming to watch!",11 jam yang lalu
youtube,hes one of the few thats actually better live,11 jam yang lalu
youtube,Camera woman knows how to do with JB🥰,11 jam yang lalu
youtube,you can hear his smile in ' closer and closer and closaahhhhhh',11 jam yang lalu
youtube,GOOOOATTTTTTT,11 jam yang lalu
youtube,JB is just him like wow,11 jam yang lalu
youtube,nearly at 8 m!!! JB's done it again!!!,11 jam yang lalu
youtube,Mi piace è vestito 😅,11 jam yang lalu
youtube,I love this!,11 jam yang lalu
youtube,Best performer ever. He could lay down in bed with a microphone on the stage id still pay more and appreciate and love this guy more than anyone else to this day. I’m appreciative to have Justin Bieber here on earth with us. 🎉,11 jam yang lalu
youtube,What a way to end Coachelle! My boy justin!,11 jam yang lalu
youtube,Omg i love him❤🥹,11 jam yang lalu
youtube,🥺,11 jam yang lalu
youtube,Булочка ❤❤❤,11 jam yang lalu
youtube,Justin the Legendary,11 jam yang lalu
youtube,Muso 🇧🇷,11 jam yang lalu
youtube,Love u jb,11 jam yang lalu
youtube,🎉🎉🎉🎉🎉,11 jam yang lalu
youtube,Kameramen : khusus buat jb hehe,10 jam yang lalu
youtube,Big love from Indonesia🎉💜,12 jam yang lalu
youtube,I love seeing him have fun ❤ He is a musical legend walking among us.,12 jam yang lalu
youtube,"2:24 to 2:32 stage lights, camera work and visuals are absolutely unreaaaal",12 jam yang lalu (diedit)
youtube,He makes it look effortless🌟,12 jam yang lalu
youtube,1:26 CLOSER AND CLOSER AND CLOSAAAAHHH,12 jam yang lalu
youtube,the only set i wanted to watch,12 jam yang lalu
youtube,Best Performance of the Year,12 jam yang lalu
youtube,i am obssessed with this video,12 jam yang lalu
youtube,Justin is a natural talent,12 jam yang lalu
youtube,Knock one out of the park again. ❤❤❤,12 jam yang lalu
youtube,Is there a full video of Justin’s entire performance? Can’t find it 😢,12 jam yang lalu
youtube,What an actual legend. The camerawork on this performance is everything.,12 jam yang lalu
youtube,The young people of today is like a wasting life away worship music. Never in life did the people worship one person for a song.,12 jam yang lalu (diedit)
youtube,Quem aí é do Brasil?!!!!,12 jam yang lalu
youtube,Quem aí é do Brasil?!!!!,12 jam yang lalu
youtube,Why he dressed like a medieval peasant,12 jam yang lalu
youtube,I love this! ❤,12 jam yang lalu
youtube,CLOSAHHHHH,12 jam yang lalu
youtube,Браво Джастин❤❤❤Бесподобное выступление🎉🎉🎉,12 jam yang lalu
youtube,Closer and closer and closaaaaa,12 jam yang lalu
youtube,Only! 🫶🏻🌹🙌🏻👑🇦🇷,12 jam yang lalu
youtube,EXCELLENT IDEA JB❤,12 jam yang lalu
youtube,1:25 absolute goosebumps he looks so happy again huge w💯,12 jam yang lalu
youtube,That guitar playing is shockingly terrible,12 jam yang lalu
youtube,One of My favorite beiber songs esp shen travelling. ❤ Thank you for this masterpiece,12 jam yang lalu
youtube,"Art, just like how it should be",12 jam yang lalu
youtube,"Great guitar by Mk Gee, Great performance and voice by Justin Bieber, Great càmera by ??? Thanks so much!!!",12 jam yang lalu
youtube,This feels soo good ❤,13 jam yang lalu
youtube,I really like how Justin turned into a artist making authenticated music,13 jam yang lalu
youtube,IMO - this is the most exciting song Justin has performed in many  years.  Far more lively and dynamic and with more popular appeal.  Makes me want to dance.,13 jam yang lalu
youtube,Coachella has been ruined by commercialism and influencer corruption. Just look at the performances from 1999 and compare it to now. This has to stop.,13 jam yang lalu
youtube,"1:23 
Never saw him that happy in a while",13 jam yang lalu
youtube,존나 멋있어서 눈물나온다,13 jam yang lalu
youtube,Bieberchella salvando o Justin e nós também ❤,13 jam yang lalu
youtube,An sakna lai tak kha sak tir ve ta che 😂,13 jam yang lalu
youtube,Nós te amamos Justinnnn ❤,13 jam yang lalu
youtube,Bieber Fever never ends ♾️,13 jam yang lalu
youtube,closer and closer and closahhhhhhhhhhhhh,13 jam yang lalu
youtube,"1:20   Closer, closer and closaaaaaa❤",13 jam yang lalu
youtube,"REFRESHING, HAPPY HE'S HAPPY... VERY INVIGORATING 💯",13 jam yang lalu
youtube,It's the best part of the performance by far. What were you listening to?,11 jam yang lalu
youtube,PURE JOY VIBES 💜💜💜,13 jam yang lalu
youtube,Since One Time <3 Forever gonna love JB!,13 jam yang lalu
youtube,"Justin Bieber big fan here
👇",13 jam yang lalu
youtube,The best ❤,13 jam yang lalu
youtube,❤❤❤❤,14 jam yang lalu
youtube,this is my Super Bowl,14 jam yang lalu
youtube,THE AMOUNT OF TIME I HV WATED THIS IS UNHEALTHYY!!!!!!,14 jam yang lalu
youtube,Pop shows dont need to look like a circus with half naked performers to be great af ❤just music and love for the art,14 jam yang lalu
youtube,❤❤❤❤❤❤❤❤❤,14 jam yang lalu
youtube,❤❤❤❤❤❤❤❤❤,14 jam yang lalu
youtube,Hard to describe how good mckee sounds good also😮‍💨😮‍💨😮‍💨,14 jam yang lalu
youtube,"live band is just so good, it makes a song more alive 🥹🫶🏼",14 jam yang lalu
youtube,"Love you Justin, keep healing baby!",14 jam yang lalu
youtube,He looks like Henry Rollins.,14 jam yang lalu
youtube,🎉🎉🎉🎉🎉🎉,14 jam yang lalu
youtube,Videographer did amazing job.,14 jam yang lalu
youtube,❤,14 jam yang lalu
youtube,❤❤❤,14 jam yang lalu
youtube,Closer and Closer and Closaaahh 🥶,14 jam yang lalu (diedit)
youtube,camera woman did amazing i cannot stop thinking and dreaming and singing this song brcsuse of this video alone!!!,14 jam yang lalu
youtube,"I don't get it, but to each their own.",14 jam yang lalu
youtube,I love how as we get older we stop trying to have pretty hair and are just like short and clean is all we need lol. No matter what race.,14 jam yang lalu
youtube,Prince of Pop 🔥,14 jam yang lalu
youtube,LEGEND❤,15 jam yang lalu
youtube,"The camera work is amazing. This performance was so full of hope, JB showed us that there is hope that we can heal too.",15 jam yang lalu
youtube,"This whole set was INSANNNNEEEE.  And you can tell this is where he wanted to be in that moment more than anything else.  When an artist gets to shine , it’s my fave thing to watch! 😢",15 jam yang lalu
youtube,1:26,15 jam yang lalu
youtube,❤❤,15 jam yang lalu
youtube,"C'mon Coachella, upload the full set!!!",15 jam yang lalu
youtube,Justin Boober.,15 jam yang lalu
youtube,Hermosa voz lo amo❤,15 jam yang lalu
youtube,❤❤❤,15 jam yang lalu
youtube,Go Beebs.,15 jam yang lalu
youtube,"And I never thought Justin will ever be grown up,  married, have a kid like this❤",15 jam yang lalu
youtube,TE AMOOOOOO JUSTINHO,15 jam yang lalu
youtube,"God bless you dear❤
God bless your voice dear❤",15 jam yang lalu
youtube,"I’ve literally never been a Bieber fan ever, and even I have this on repeat",15 jam yang lalu
youtube,Maravilloso valiente y talentoso Justin❤️❤️❤️❤️❤️❤️,15 jam yang lalu
youtube,"If I could get in drop me a pin
Hop in the — and come over
Don't wanna be friends just skin to skin
I wanna get closer and closer and closer",15 jam yang lalu
youtube,"When I first heard this song playing on the radio I thought to myself ""Man, Mk.gee has really made it, EVERYBODY is copying his sound!"" but now I've come to find that it was a legit collaboration with the man himself! CRAZY!!! Either way, Mk. gee has been making tsunamis in the industry",15 jam yang lalu
youtube,Слушать его вживую - кайф❤,16 jam yang lalu
youtube,what i like on this concert is being raw and talented of this artist justin,16 jam yang lalu
youtube,"""Closer and closer and closaaahhh"" 😩✨",16 jam yang lalu
youtube,"Lazy?! I loved this performance, he actually sang, he opened up his heart and soul to the audience and was incredibly vulnerable. It was a powerful performance.  I love to see Justin living his life on his terms and performing on his terms. Standing ovation from me Mr Bieber!!",16 jam yang lalu (diedit)
youtube,https://youtu.be/He9WmjUvpJ8?si=XbzrGNWiIEHwA4d5😊😊https://youtu.be/nGMD8Qi_0Rg?si=gSzjEs6InuR2Ya8P🎉🎉🎉😂❤❤❤,16 jam yang lalu
youtube,"Omg the colours and the lighting ❤ camera guy omg I wish I could see life through your eyes, this is stunning!!!",16 jam yang lalu
youtube,❤️,16 jam yang lalu
youtube,is that mk.gee!?,16 jam yang lalu
youtube,I dint went to cochella but I'm crying how good this is and I love him ❤❤❤❤❤❤,16 jam yang lalu
youtube,Ready for a Justin bieber superbowl!,16 jam yang lalu
youtube,Hope I can perform at coachella!,17 jam yang lalu
youtube,Jb❤,17 jam yang lalu
youtube,how to get out of this performance???????😊,17 jam yang lalu
youtube,Woooooow!!! Just woooooow!!! 😍😍😍,17 jam yang lalu
youtube,Everything is so perfect.,17 jam yang lalu
youtube,CLOSER AND CLOSER AND CLOSAAAHHH,17 jam yang lalu
youtube,BEST PRESENTATION EVEEER FOREVER BELIEBER. <3,17 jam yang lalu
youtube,that one shot will make googlee year end review,17 jam yang lalu
youtube,😊😊😊😊❤❤❤❤,17 jam yang lalu
youtube,i love how it feels like he finally found the happiness and peace for performing here. i feel like i also healed from seeing him being so happy again,17 jam yang lalu
youtube,closer and closer and closeahh,18 jam yang lalu
youtube,Praise God justin ✨ God is with you always Hallelujah 🔥,18 jam yang lalu
youtube,Guitarist 🔥🔥🔥,18 jam yang lalu
youtube,뜨또 노래 해줘서 고마워 사랑해,18 jam yang lalu
youtube,never cared about coachella until this year ❤,18 jam yang lalu
youtube,everyone forgets that he’s not making money off of his old songs because he sold them so he doesn’t make any royalties so he has no reason to sing them all,19 jam yang lalu
youtube,thank you so much for performing JB!! You're the bestttt !!!,19 jam yang lalu
youtube,"Keep getting better Bieber. They doubt you, but they don't know you. Only you know you and God. Stay smart, make the strong decisions and become your most powerful you.",19 jam yang lalu
youtube,This is hands down his best performance ever. LOVED IT,19 jam yang lalu
youtube,finally got a music video for daisies !,19 jam yang lalu
youtube,"I love Justine's VIBE on stage...... BORN to perform !!!!

Amazing, Thank you Justin🙏🏻",19 jam yang lalu
youtube,"He just needs to sing and be present and it’s worth watching, he’s been singing since he was a baby, he knows what’s up. Go J!",19 jam yang lalu
youtube,Goosebumps 😮I'm singing it every minute god so good to hear  bless u JustinBieber 🙏,19 jam yang lalu
youtube,WW guitar work,19 jam yang lalu
youtube,2 goats,19 jam yang lalu
youtube,I really HATE the shaved head,19 jam yang lalu
youtube,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,19 jam yang lalu
youtube,This song rlly sounds good in livee,19 jam yang lalu
youtube,He got His strength from God🙏 his soul is still Justin,19 jam yang lalu
youtube,Please Coachella can we watched the full video performance of Justin please 🥺,19 jam yang lalu
youtube,"🇫🇷MONROE - Regarde🎶 Eurovision 2026 France.

Check the ""Best Songs of ESC"" playlist in my channel for more songs like this.",18 jam yang lalu
youtube,"And ""Hard Rock Hallelujah"" is the legend🤘🏻",18 jam yang lalu
youtube,"🇫🇷MONROE - Regarde🎶 Eurovision 2026 France.

Check the ""Best Songs of ESC"" playlist in my channel for more songs like this.",18 jam yang lalu
youtube,Same !,17 jam yang lalu
youtube,same,16 jam yang lalu
youtube,ICONIC KING✨✨,19 jam yang lalu
youtube,Lip sync trolling...,20 jam yang lalu
youtube,じゃすてぃんびーばー、かっこいい🎵🧡,20 jam yang lalu
youtube,Finally some who can sing,20 jam yang lalu
youtube,justins the one person that didnt fall off as he grew up,20 jam yang lalu
youtube,Justin and MK.gee  are magic.  Love the sound of the guitar with Justin’s voice.,20 jam yang lalu
youtube,Beautiful ❤️,20 jam yang lalu
youtube,My Bieber fever is back. Love this version!!,20 jam yang lalu
youtube,great work of the camera woman!! <3,20 jam yang lalu (diedit)
youtube,"At 2:19 you can see him be one with the music, find the beat and become the young Biebs again. It’s truly beautiful",20 jam yang lalu
youtube,❤,20 jam yang lalu
youtube,"The camerawork in this performance captured some of Justin Bieber’s most beautiful moments — like when he spun around in a circle, carefree and playful, almost like a boy again. And those low-angle shots from the ground up made him look so powerful — standing firmly on his own two feet, fully himself: a strong, grown man, yet still youthful, a little rough around the edges.

Especially the moment with Bieber sitting under the sky and fireworks was absolutely stunning. That playful, mischievous look straight into the camera connecting not just the Coachella crowd, but millions of people watching around the world together 🤩🤩🤩

Welcome back, bro❤❤❤. Wishing you and your family good health and true happiness. Keep smiling like that 😘😘😘",20 jam yang lalu (diedit)
youtube,Best video of 2026❤,20 jam yang lalu
youtube,May God continue healing his heart 🤍 Hallelujah Hallelujah!!!!! 🙌,20 jam yang lalu
youtube,Good to see jb better days are coming,20 jam yang lalu
youtube,I love when artists just SING . Sometimes the flashy production stuff isn't needed,20 jam yang lalu
youtube,Glory be to God!!!!! Hallelujah  Hallelujah!!!!!!!!,20 jam yang lalu
youtube,My Baby 🥹❤️  @justinbieber   Love you JB 🥰,20 jam yang lalu
youtube,Please Release more Videos from him,20 jam yang lalu
youtube,Omg i haven’t seen him smile in so long. ❤ love you Justin,20 jam yang lalu
youtube,"Yeah he definitely did, stop lying to yourself ts is cringe 💯",19 jam yang lalu
youtube, @grizzlyslayer4700 he “fell off”yet he’s getting more streams than he ever did ? Lol,17 jam yang lalu
youtube,"Blasphemer, repent before it is too late. Amen",19 jam yang lalu
youtube,can't stop watching 😖,20 jam yang lalu (diedit)
youtube,Watching him grow up makes this show so emotional. He is loved by so many. Sending him so much peace and happiness in his future! 💙,20 jam yang lalu
youtube,the world could absolutely use a little more of Justin Bieber today,20 jam yang lalu
